month,wa_sales_tax_exemption_active,wa_instant_rebate_active,federal_point_of_sale_credit_period,combined_incentive_transition,post_combined_incentive_rolloff,timing_note,wa_sales_tax_source_url,wa_instant_rebate_source_url
2017-11-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2017-12-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-01-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-02-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-03-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-04-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-05-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-06-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-07-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-08-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-09-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-10-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-11-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2018-12-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-01-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-02-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-03-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-04-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-05-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-06-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-07-01,0,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-08-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-09-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-10-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-11-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2019-12-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-01-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-02-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-03-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-04-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-05-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-06-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-07-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-08-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-09-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-10-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-11-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2020-12-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-01-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-02-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-03-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-04-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-05-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-06-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-07-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-08-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-09-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-10-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-11-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2021-12-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-01-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-02-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-03-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-04-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-05-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-06-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-07-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-08-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
2022-09-01,1,0,0,0,0,Washington sales-tax exemption ended 2025-07-31; the instant-rebate end month is proxied by Commerce's 2025-06-04 closed-program update; the federal credit ended 2025-09-30; November allows one month for title processing.,https://dor.wa.gov/forms-publications/publications-subject/special-notices/new-clean-alternative-fuel-and-plug-hybrid-vehicle-sales-and-use-tax-exemption,https://www.commerce.wa.gov/clean-transportation/ev-instant-rebate/
